"Dewey classification","BL record ID","Type of resource","Content type","Material type","BNB number","ISBN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of publication","Edition","Physical description","BL shelfmark","Topics","Genre","Languages","Notes"
"823.92","014836524","Monograph","Language material ; Text","Volume","GBA8D3737","9780385615136","Prentice, Andrew (Andy)","","person","","Weil, Jonathan (Jon) [person] ; Prentice, Andrew (Andy) [person]","Black arts : the books of pandemonium","","Intelligencer","","England","Oxford","David Fickling","2012","","482 pages, 22 cm","Nov.2013/1701","Magic--Juvenile fiction","Children's fiction ; Fantasy","English",""
"823.92","014837079","Monograph","Language material ; Text","Volume","GBA8D4292","9781408413876 ; 9781408413883","Matthews, Carole","","person","","Matthews, Carole [person]","It's a kind of magic","","","","England","Bath ; Windsor","Paragon","2009","Large print edition","413 pages (large print), 25 cm","LT.2008.x.1541","Young women--Fiction ; Magic--Fiction ; Man-woman relationships--Fiction","Fiction ; Large print","English","Originally published: London: Headline Review, 2008"
"823.92","014850099","Monograph","Language material ; Text","Volume","GBB108035","9780955023583","Moore, Lotte","1936-","person","","Moore, Lotte, 1936- [person] ; Lee, Jane (Eleanor Jane) [person]","The magic teapot","","","","England","Biddenden","YoubyYou","2008","","24 pages, colour illustrations, 20 x 22 cm","YK.2010.a.34642","Teapots--Juvenile fiction ; Magic--Juvenile fiction","Children's fiction","English","'The Selwyn Press.'"
"823.92","014852979","Monograph","Language material ; Text","Volume","GBA8D9458","9781847150820","Zucker, Jonny","","person","","Woodman, Ned, 1978- [person] ; Zucker, Jonny [person]","Sub zero","","Max Flash","mission 5 [Max Flash]","England","London","Stripes","2009","","140 pages, illustrations, 20 cm","YK.2010.a.22089","Magicians--Juvenile fiction ; Missing persons--Investigation--Juvenile fiction ; Antarctica--Juvenile fiction ; Flash, Max (Fictitious character)--Juvenile fiction","Adventure ; Children's fiction","English",""
"823.92","014853056","Monograph","Language material ; Text","Volume","GBA8D9535","9781848120105","Winn, Sheri","","person","","Winn, Sheri [person]","The secret of the towers","","The Sprite sisters","3 [The Sprite sisters]","England","London","Piccadilly Press","2009","","229 pages, 1 map, 20 cm","YK.2009.a.22975","Sisters--Juvenile fiction ; Magic--Juvenile fiction","Children's fiction ; Fantasy","English",""
"823.92","014869933","Monograph","Language material ; Text","Volume","GBA902550","9780141324760","Bentley, Sue","1951-","person","","Swan, Angela, 1982- [person] ; Bentley, Sue, 1951- [person]","Sunshine shimmers","","Magic puppy","12 [Magic puppy]","England","London","Puffin","2009","","110 pages, 20 cm ; 110 pages, illustrations, 20 cm","YK.2009.a.20953","Vacations--Spain--Juvenile fiction ; Magic--Juvenile fiction ; Puppies--Juvenile fiction ; Storm (Fictitious character : Bentley)--Juvenile fiction","Children's fiction","English",""
"823.92","014869934","Monograph","Language material ; Text","Volume","GBA902551","9780141324777","Bentley, Sue","1951-","person","","Bentley, Sue, 1951- [person]","Sparkling skates","","Magic puppy","11 [Magic puppy]","England","London","Puffin","2009","","111 pages, illustrations, 20 cm","YK.2009.a.20957","Magic--Juvenile fiction ; Skaters--Juvenile fiction ; Puppies--Juvenile fiction ; Storm (Fictitious character : Bentley)--Juvenile fiction","Children's fiction","English",""
"823.92","014869973","Monograph","Language material ; Text","Volume","GBA902590","9780340883655","Masson, Sophie","1959-","person","","Masson, Sophie, 1959- [person]","The madman of Venice","","","","England","London","Hodder Children's","2009","","293 pages, 1 map, 20 cm","H.2010/.5212","Witchcraft--Italy--Venice--History--17th century--Juvenile fiction ; Kidnapping--Juvenile fiction ; Venice (Italy)--History--1508-1797--Juvenile fiction","Children's fiction ; Detective and mystery fiction","English",""
"823.92","014877353","Monograph","Language material ; Text","Volume","GBA904036","9780007300297","Bussell, Darcey","","person","","Bussell, Darcey [person]","Rosa and the secret princess","","Magic ballerina","7 [Magic ballerina]","England","London","HarperCollins","2009","","94 pages, illustrations, 20 cm","YK.2011.a.2901","Ballerinas--Juvenile fiction ; Ballet dancing--Juvenile fiction ; Rosa (Fictitious character : Bussell)--Juvenile fiction ; Magic--Juvenile fiction ; Enchantia (Imaginary place)--Juvenile fiction","Children's fiction","English",""
"823.92","014877354","Monograph","Language material ; Text","Volume","GBA904037","9780007300303","Bussell, Darcey","","person","","Bussell, Darcey [person]","Rosa and the golden bird","","Magic ballerina","8 [Magic ballerina]","England","London","HarperCollins","2009","","94 pages, illustrations, map, 20 cm","YK.2011.a.3067","Ballerinas--Juvenile fiction ; Ballet dancing--Juvenile fiction ; Rosa (Fictitious character : Bussell)--Juvenile fiction ; Magic--Juvenile fiction ; Enchantia (Imaginary place)--Juvenile fiction","Children's fiction","English",""
"823.92","014877355","Monograph","Language material ; Text","Volume","GBA904038","9780007300310","Bussell, Darcey","","person","","Bussell, Darcey [person]","Rosa and the magic moonstone","","Magic ballerina","9 [Magic ballerina]","England","London","HarperCollins","2009","","94 pages, illustrations, map, 20 cm","YK.2011.a.4580","Ballerinas--Juvenile fiction ; Ballet dancing--Juvenile fiction ; Rosa (Fictitious character : Bussell)--Juvenile fiction ; Magic--Juvenile fiction ; Enchantia (Imaginary place)--Juvenile fiction","Children's fiction","English",""
