"Dewey classification","BL record ID","Type of resource","Content type","Material type","BNB number","ISBN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of publication","Edition","Physical description","BL shelfmark","Topics","Genre","Languages","Notes"
"299.84","010346292","Monograph","Language material ; Text","Volume","GBA2U7816","9780822329527 ; 9780822329886","Whitehead, Neil L.","","person","","Whitehead, Neil L. [person]","Dark shamans : kanaimà and the poetics of violent death","","","","England ; United States of America","Durham, North Carolina ; London","Duke University Press","2002","","320 pages, illustrations (some colour), 23 cm","m02/40179","Patamona Indians--Rites and ceremonies ; Patamona Indians--Death ; Macusi Indians--Rites and ceremonies ; Paramakatoi Region (Guyana)--Religious life and customs ; Shamanism--Guyana--Paramakatoi Region ; Ritual abuse--Guyana--Paramakatoi Region ; Cannibalism--Guyana--Paramakatoi Region ; Macusi Indians--Death ; Violent deaths--Guyana--Paramakatoi Region ; Witchcraft--Guyana--Paramakatoi Region","","English",""
"299.88324","013475838","Monograph","Language material ; Text","Volume","GBA649682","9781571781932","Delgado, Jorge Luis","","person","","Delgado, Jorge Luis [person] ; Male, MaryAnn [person]","Andean awakening : An Inca guide to mystical Peru","","","","England ; United States of America","Enfield ; Tulsa, Oklahoma","Council Oak","2006","","176 pages, some colour illustrations, maps, 23 cm","YK.2007.a.2257","Quero cosmology ; Quero Indians--Rites and ceremonies ; Inca cosmology ; New Age movement--Andes Region ; Incas--Rites and ceremonies ; Quero Indians--Religion ; Shamanism--Andes Region ; Medicine, Magic, mystic, and spagiric--Andes Region ; Incas--Religion","","English","Includes index"
"299.9212","015656715","Monograph","Language material ; Text","Volume","GBB0B7810","9781594607271","Lattas, Andrew","1956-","person","","Lattas, Andrew, 1956- [person]","Dreams, madness, and fairy tales in New Britain","","Carolina Academic Press ritual studies monograph series","","United States of America","Durham, North Carolina","Carolina Academic Press","2010","","lvi, 337 pages, illustrations, 23 cm","m10/.24156","New Britain Island (Papua New Guinea)--Social life and customs ; Shamanism--Papua New Guinea--New Britain Island ; Fairy tales--Papua New Guinea--New Britain Island ; Cargo cults--Papua New Guinea--New Britain Island ; Whites--Papua New Guinea--New Britain Island--Public opinion ; New Britain Island (Papua New Guinea)--Religious life and customs ; Public opinion--Papua New Guinea--New Britain Island ; Witchcraft--Papua New Guinea--New Britain Island","","English",""
"299.92226","018116985","Monograph","Language material ; Text","Volume","","9789004326569","Buijs, Kees","1944-","person","author","Buijs, Kees, 1944-, author [person]","Personal religion and magic in Mamasa, West Sulawesi : the search for powers of blessing from the other world of the gods","","Verhandelingen van het Koninklijk Instituut Voor Taal- en land- en Volkenkunde","volume 308 [Verhandelingen van het Koninklijk Instituut Voor Taal- en land- en Volkenkunde]","Netherlands","Boston ; Leiden","Brill","2017","","ix, 163 pages, colour illustrations, 24 cm","AC.7519/32. [308]","Magic--Indonesia ; Mythology, Indonesian ; Toraja (Indonesian people)--Religion","","English","Additional physical form: Buijs, Kees, 1944- author. Online version. Personal religion and magic in Mamasa, West Sulawesi. Leiden : Boston : Brill, 2016. 9789004326576"
"299.93","008839593","Monograph","Language material ; Text","Volume","GBA129272","9781899171231","Main, Darren John","","person","","Main, Darren John [person]","Spiritual journeys along the yellow brick road","","","","Scotland","Forres","Findhorn Press","2000","","142 pages, 23 cm","YK.2003.a.15595","Baum, L. Frank (Lyman Frank), 1856-1919 ; Wizard of Oz (Motion picture : 1939) ; Spiritual life","","English",""
"299.93","009259505","Monograph","Language material ; Text","Volume","","9780062515162","Starhawk","","person","","M. Macha NightMare [person] ; Reclaiming Collective (San Francisco, Calif.) [organisation] ; Starhawk [person]","The pagan book of living and dying : practical rituals, prayers, blessings, and meditations on crossing over","","","","United States of America","San Francisco","Harper","1997","","xxv, 353 pages, music, 24 cm","YC.1998.b.6745","Witchcraft ; Death--Religious aspects--Neopaganism ; Death--Religious aspects--Goddess religion","","English",""
"299.93","009907354","Monograph","Language material ; Text","Volume","GBA029530","","","","","","Wood, Chris, 1965- [person] ; Norwich Pagan Moot [organisation]","At the cutting edge of tradition : words of wisdom from the pagan community","","","","England","Norwich","Norwich Pagan Moot","1998","","48 pages, illustrations, 30 cm","YK.2000.b.2382","Magic, Celtic ; Magic, Roman ; Christianity and other religions--Celtic ; Celts--Religion ; Christianity and other religions--Roman ; Egypt--Religion","","English",""
"299.93","013800577","Monograph","Language material ; Text","Volume","GBA758173","9781578634132","Budapest, Zsuzsanna Emese","1940-","person","","Budapest, Zsuzsanna Emese, 1940- [person]","The holy book of women's mysteries","","","","England ; United States of America","Enfield ; San Francisco, California","Weiser","2007","","","YK.2008.a.10060","Rites and ceremonies ; Witchcraft ; Goddesses ; Goddess religion","","English","Originally published: Oakland, Calif. : Z.E. Budapest, c1980. With new pref. and foreword"
"299.93","014641211","Monograph","Language material ; Text","Volume","GBA875995","9780738713182","Digitalis, Raven","","person","","Digitalis, Raven [person]","Shadow magick compendium : exploring darker aspects of magickal spirituality","","","","England ; United States of America","Enfield ; Woodbury, Minnesota","Llewellyn","2008","1st edition","223 pages, 23 cm","YK.2009.a.16244","Spirituality--Miscellanea ; Witchcraft ; Magic ; Occultism","","English",""
"299.93","018695604","Monograph","Language material ; Text","Online resource","GBB825210","9780062125200","Starhawk","","person","","Starhawk [person]","The earth path : grounding your spirit in the rhythms of nature","","","","United States of America","New York","HarperOne","2005","","1 online resource (x, 245 pages)","ELD.DS.255481","Environmental Science ; Earth (Planet) ; Nature--Religious aspects ; Witchcraft & Wicca ; Science--Environmental Science ; Spirituality ; Earth (Planet)--Religious aspects ; Religion--Spirituality","","English","Originally published in hardback: ©2004"
"299.93","018695605","Monograph","Language material ; Text","Online resource","GBB825211","9780062125217","Starhawk","","person","","M. Macha NightMare [person] ; Maloney, Mack [person] ; Reclaiming Collective (San Francisco, Calif.) [organisation] ; Starhawk [person]","The pagan book of living and dying : practical rituals, prayers, blessings, and meditations on crossing over","Starhawk","","","United States of America","San Francisco","Harper","1997","","1 online resource (xxv, 353 pages), music","ELD.DS.255482","Religion--General ; Witchcraft ; Religion--Spirituality ; Death--Religious aspects--Neopaganism ; Death--Religious aspects--Goddess religion","","English",""
"299.94","007710068","Monograph","Language material ; Text","Volume","GBA3Y7420","9780738703015","Lipp, Deborah","1961-","person","","Lipp, Deborah, 1961- [person]","The elements of ritual : air, fire, water & earth in the wiccan circle","","","","United Kingdom ; United States of America","St Paul, Minnesota","Llewellyn Publications","2003","1st edition","xi, 273 pages, illustrations, 24 cm","YK.2004.a.10624","Witchcraft ; Neopaganism--Rituals ; Goddess religion","","English",""
"299.94","007899295","Serial","Language material ; Text","Volume","GBA534741","","","","","","Wicca Uk [organisation]","The witchtower","The witchtower (Print)","","","England","London","Wicca","2003-","","volumes, illustrations, 25 cm","ZK.9.a.8871","Wicca UK--Periodicals ; Witchcraft--Great Britain--Periodicals","Periodical","English","Additional physical form: Witchtower (Online) (ISSN: 1741-5683) ; Continues: Wicca UK E-magazine"
"299.94","009710954","Monograph","Language material ; Text","Volume","GBA3Y0652","9780806524559","Buckland, Raymond","","person","","Buckland, Raymond [person]","Wicca for life : the way of the craft - from birth to summerland","","","","England ; United States of America","London ; New York","Citadel ; Turnaround","2003","","x, 342 pages, illustrations, 24 cm","YD.2005.a.2045","Witchcraft ; Neopagans--Rituals","","English","Originally published: 2001"
"299.94","011715242","Monograph","Language material ; Text","Volume","GBA488824","9781857563412","Lamond, Frederic","","person","","Lamond, Frederic [person]","Religion without beliefs : essays in pantheist theology,comparative religion and ethics","","","","England","London","Janus","1997","","xi, 184 pages, 20 cm","99/12503 ; YD.2004.a.6729","Witchcraft ; Neopaganism","","English",""
"299.94","012876123","Monograph","Language material ; Text","Volume","GBA4X4942","9780738705767","De Angeles, Ly","1951-","person","","De Angeles, Ly, 1951- [person]","When I see the wild god : encountering urban Celtic witchcraft","","","","England ; United States of America","Enfield ; St Paul, Minnesota","Airlift ; Llewellyn","2004","1st edition","xx, 218 pages, illustrations, 23 cm","YK.2005.a.13432","Witchcraft ; Celts--Religion--Miscellanea","","English",""
"299.94","012962998","Monograph","Language material ; Text","Volume","GBA456359","9780738705835","Kynes, Sandra","1950-","person","","Kynes, Sandra, 1950- [person]","A year of ritual : Sabbats & esbats for solitaires & covens","","","","United States of America","St Paul, Minnesota","Llewellyn","2004","1st edition","viii, 231 pages, illustrations, 24 cm","YK.2005.a.11549","Sabbat ; Religious calendars--Neopaganism ; Moon--Religious aspects ; Paganism--Rituals ; Witchcraft","","English",""
"299.94","013019061","Monograph","Language material ; Text","Volume","GBA626396","9780954753412","Franklin, Anna","","person","","Franklin, Anna [person]","Hearth Witch","","","","England","Earl Shilton","Lear","2004","","181 pages, illustrations, 21 cm","YK.2006.a.6967","Witchcraft ; Magic","","English",""
"299.94","013055355","Monograph","Language material ; Text","Volume","GBA488760","9780919345171","Farrar, Stewart","","person","","Farrar, Stewart [person]","What witches do : a modern coven revealed","","","","England ; United States of America","London ; Washington","Phoenix ; U.K. by Robert Hale","1991","3rd edition, that is 1st edition reprinted with new introduction and minor amendments to illustrations and bibliography","184 pages, 8 pages of plates, illustrations, portraits, 22 cm","YD.2004.a.6775","Witchcraft ; Neopaganism ; Covens","","English","Originally published: London : P. Davies, 1971"
"299.94","013085468","Monograph","Language material ; Text","Volume","GBA504274","9780738705477","Penczak, Christopher","","person","","Penczak, Christopher [person]","Sons of the goddess : a young man's guide to wicca","","","","United States of America","St Paul, Minnesota","Llewellyn","2005","1st edition","xii, 193 pages, illustrations, 23 cm","YK.2005.a.13819","Witchcraft ; Teenage boys--Miscellanea","","English",""
"299.94","013146958","Monograph","Language material ; Text","Volume","GBA525039","9780195166453","Bado-Fralick, Nikki","","person","","Bado-Fralick, Nikki [person]","Coming to the edge of the circle : a Wiccan initiation ritual","","American Academy of Religion academy series","","England ; United States of America","New York ; Oxford","Oxford University Press","2005","","x, 181 pages, illustrations, 24 cm","YC.2005.a.11448","Witchcraft--Ohio ; Initiation rites--Religious aspects--Ohio ; Rites and ceremonies--Ohio","","English",""
"299.94","013168984","Serial","Language material ; Text","Volume","GBA527915","","","","","","","Omni vita","","","","England","Carlisle","Omni Vita","1996-","","volumes, illustrations, 21 cm","ZK.9.a.9272","Neopaganism--Periodicals ; Witchcraft--Periodicals ; New Age movement--Periodicals","Periodical","English",""
"299.94","013269898","Monograph","Language material ; Text","Volume","GBA567287","9781593373535","Murphy-Hiscock, Arin","","person","","Murphy-Hiscock, Arin [person]","Solitary Wicca for life : a complete guide to mastering the craft on your own","","","","United States of America","Avon, Massachusetts ; Newton Abbot","David & Charles ; Provenance Press","2005","","viii, 248 pages, 23 cm","YK.2006.a.5197","Rites and ceremonies ; Witchcraft ; Magic","","English",""
"299.94","013404967","Monograph","Language material ; Text","Volume","GBA628672","9781905297047","D'Este, Sorita","","person","","D'Este, Sorita [person] ; Rankine, David, 1965- [person]","Circle of fire : the symbolism & practices of Wiccan ritual","","","","England","London","Avalonia","2005","","148 pages, illustrations, 22 cm","YK.2006.a.6981","Witchcraft ; Ritual","","English",""
"299.94","013500195","Monograph","Language material ; Text","Volume","GBA657840","9781593375041","Singer, Marian","","person","","Singer, Marian [person]","A witch's 10 commandments : magickal guidelines for everyday life","","","","United States of America","Avon, Massachusetts ; Newton Abbot","Adams Media ; David & Charles","2006","","xxviii, 227 pages, 22 cm","YK.2007.a.660","Witchcraft ; Magic","","English",""
"299.94","013505485","Monograph","Language material ; Text","Volume","","9780759102019 ; 9780759102026","Clifton, Chas","","person","","Clifton, Chas [person]","Her hidden children : the rise of Wicca and paganism in America","","The Pagan studies series","","United States of America","Lanham, Maryland ; Oxford","AltaMira Press","2006","","xiv, 191 pages cm","m06/.30213","Witchcraft--United States ; Paganism--United States","","English",""
"299.94","013507974","Monograph","Language material ; Text","Volume","GBA661021","9781567180091","K, Amber","1947-","person","","K, Amber, 1947- [person] ; K, Azrael Arynn, 1955- [person]","Ritual craft : creating rites for transformation and celebration","","","","England ; United States of America","Enfield ; St Paul, Minnesota","Llewellyn","2006","","xvi, 552 pages, 26 cm","YK.2007.b.4586","Witchcraft ; Neopaganism ; Magic ; Ritual","","English",""
"299.94","013511968","Monograph","Language material ; Text","Volume","GBA662526","9780738709857","RavenWolf, Silver","1956-","person","","RavenWolf, Silver, 1956- [person]","MindLight : secrets of energy, magick & manifestation","Mind light","","","England ; United States of America","Enfield ; St Paul, Minnesota","Llewellyn","2006","1st edition","ix, 268 pages, illustrations, 24 cm","YK.2007.a.2331","Witchcraft ; Neopaganism ; Magic","","English",""
"299.94","013574896","Monograph","Language material ; Text","Volume","GBA697348","9781901736502","Britomartis","","person","","Britomartis [person]","The serpents path","","","","England","North Ferriby, East Yorkshire","Corvus","2006","","119 pages, illustrations, 21 cm","YK.2006.a.17905","Neopaganism ; Serpent worship ; Magic","","English",""
"299.94","013581749","Monograph","Language material ; Text","Volume","GBA695086","9780143038191","Adler, Margot","","person","","Adler, Margot [person]","Drawing down the moon : witches, Druids, goddess-worshippers, and other pagans in America","","","","England ; United States of America","London ; New York","Penguin","2006","Revised and updated edition","xvi, 646 pages, illustrations, 21 cm","m06/.37864","Witchcraft--United States ; Women and religion ; Goddess religion--United States ; Cults--United States","","English","'The classic study revised and updated with a new resource guide: over 300 listings of groups, festivals, publications, and websites.' ; Previous edition published by Arkana in 1997"
"299.94","013594582","Monograph","Language material ; Text","Volume","GBA693560","9781905524037 ; 9781905524044 ; 9781905524051","","","","","Eliana, Lady [person]","The journey begins : the first twenty-five years of the unicorn tradition of the craft","","","","England","Oxford","Twin Serpents","2005","","129 pages, illustrations, 22 cm","YK.2009.a.21956","Goddess religion--History--20th century ; Covens--History--20th century ; Witchcraft--History--20th century","","English",""
"299.94","013655606","Monograph","Language material ; Text","Volume","GBA708126","9780203961988 ; 9780415254137 ; 9780415254144","Pearson, Joanne","1969-","person","","Pearson, Joanne, 1969- [person]","Wicca and the Christian heritage : ritual, sex, and magic","","","","England","London","Routledge","2007","","xiii, 175 pages, 24 cm","YC.2007.a.13046 ; m07/.24152","Christianity and other religions--Neopaganism ; Neopaganism--Relations--Christianity ; Witchcraft--History","","English",""
"299.94","013672401","Monograph","Language material ; Text","Volume","GBA712021","9780738710334","Blake, Deborah","1960-","person","","Blake, Deborah, 1960- [person]","Circle, coven & grove : a year of magickal practice","Circle, cover, and grove","","","England ; United States of America","Enfield ; St Paul, Minnesota","Llewellyn","2007","","ix, 253 pages, illustrations, 20 cm","YK.2007.a.16508","Witchcraft","","English",""
"299.94","013779121","Monograph","Language material ; Text","Volume","GBA749718","9781598691252","Nock, Judy Ann","","person","","Nock, Judy Ann [person]","The Provenance Press guide to the Wiccan year : spells, rituals, holiday celebrations","","","","United States of America","Avon, Massachusetts ; Newton Abbot","Adams Media ; David & Charles","2007","","xix, 252 pages, illustrations, 19 cm","YK.2008.a.21411","Witchcraft ; Neopaganism ; Fasts and feasts ; Religious calendars--Neopaganism","","English",""
"299.94","013779125","Monograph","Language material ; Text","Volume","GBA749722","9781598693409","Dunwich, Gerina","","person","","Dunwich, Gerina [person]","A witch's Halloween : a complete guide to the magick, incarnations, recipes, spells, and lore","","","","United States of America","Avon, Massachusetts ; Newton Abbot","Adams Media ; David & Charles","2007","","xiv, 237 pages, 20 cm","YK.2008.a.976","Witchcraft ; Halloween","","English",""
"299.94","014341729","Monograph","Language material ; Text","Volume","GBA792996","9780738711089","Grimassi, Raven","1951-2019","person","","Grimassi, Raven, 1951-2019 [person]","Crafting wiccan traditions : creating a foundation for your spiritual beliefs & practices","","","","England ; United States of America","Enfield ; Woodbury, Minnesota","Llewellyn","2008","1st edition","xv, 246 pages, illustrations, 23 cm","YK.2008.a.16257","Witchcraft","","English",""
"299.94","014531217","Monograph","Language material ; Text","Volume","GBA822992","9781578634187","Morgan, Michele","","person","","Morgan, Michele [person]","Simple wicca","","","","England ; United States of America","Enfield ; York Beach, Maine","Weiser","2008","","xx, 170 pages, 18 cm","YK.2010.a.22005","Wicca ; Witchcraft","","English","Originally published: Berkeley, Calif.: Conari, 2000"
"299.94","014649080","Monograph","Language material ; Text","Volume","","9781594605055","Waldron, David","","person","","Waldron, David [person]","The sign of the witch : modernity and the pagan revival","","Ritual studies monograph series","","United States of America","Durham, North Carolina","Carolina Academic Press","2008","","xxiv, 264 pages, 23 cm","m08/.25051","Wicca ; Witchcraft ; Neopaganism","","English",""
"299.94","014849003","Monograph","Language material ; Text","Volume","GBB064456","9780739123157","Klassen, Chris (Chris A.)","","person","","Klassen, Chris (Chris A.) [person]","Storied selves : shaping identity in feminist witchcraft","","","","United States of America","Lanham ; Lexington","","2008","","x, 139 pages, 24 cm","YK.2010.a.14855","Gender identity ; Goddess religion ; Wicca ; Identity (Psychology) ; Storytelling ; Witchcraft ; Feminism--Religious aspects","","English",""
"299.94","015372292","Monograph","Language material ; Text","Volume","GBB0A9326","9780956006806","Morgan, Sheena","","person","","Morgan, Sheena [person]","Wicca pathworking","","","","","","Barago Press","2008","","133 pages, illustrations, 20 cm","YK.2010.a.16543","Wicca ; Witchcraft","","English",""
"299.94","015606412","Monograph","Language material ; Text","Volume","GBB086853","9781580910057","Conway, D. J. (Deanna J.)","","person","","Conway, D. J. (Deanna J.) [person]","The big little book of magick : a Wiccan's guide to altars, candles, pendulums, and healing spells","Wiccan's guide to altars, candles, pendulums, and healing spells","","","England ; United States of America","Enfield ; Freedom, California","Crossing","2010","1st Omnibus edition","442 pages, illustrations, 21 cm","YK.2011.a.6501","Wicca ; Magic","","English","The books in this volume were originally published separately in paperback by Crossing Press, Berkeley, California, in 2000, 2001, and 2002"
"299.94","015882878","Monograph","Language material ; Text","Volume","GBB2C6333","9781906958121","Oates, Shani","","person","","Oates, Shani [person]","Tubelo's green fire : mythos, ethos, female, male & priestly : mysteries of the Clan of Tubal Cain","","","","England","Oxford","Mandrake of Oxford","2011","Special edition","288 pages, illustrations, 24 cm","YK.2012.a.29149","Witchcraft ; Neopaganism ; Mysteries, Religious","","English",""
"299.94","016017001","Monograph","Language material ; Text","Volume","GBB2B0929","9781780352336","Way, Ingrid","","person","","Way, Ingrid [person]","Earth magic for the solitary Pagan","","","","England","Peterborough","Fastprint","2011","","iv, 304 pages, illustrations, 24 cm","YK.2012.a.23238","Ritual ; Magic ; Wiccans ; Witchcraft ; Paganism","","English",""
"299.94","016644704","Monograph","Language material ; Text","Volume","GBB425956","9781782793434","Daimler, Morgan","","person","author","Daimler, Morgan, author [person]","Fairy witchcraft","","Pagan portals","","England","Winchester","Moon","2014","","vi, 89 pages, 22 cm","YKL.2015.a.9577","Witchcraft ; Neopaganism ; Fairies ; Celts--Religion","","English",""
"299.94","017871055","Monograph","Language material ; Text","Volume","GBB676989","9781785350511","Daimler, Morgan","","person","author","Daimler, Morgan, author [person]","Fairycraft : following the path of fairy witchcraft","","","","England","Winchester","Moon","2016","","x, 257 pages, 22 cm","YKL.2017.a.14513","Witchcraft ; Neopaganism ; Fairies","","English","Additional physical form: ebook version. 9781785350528"
"299.94","018001315","Monograph","Language material ; Text","Volume","GBB6C4869","9781785354441","Draco, Mélusine","","person","author","Draco, Mélusine, author [person]","The secret people : parish pump witchcraft, wise-women and cunning ways","The secret people : Parish-pump witchcraft, wise-women and cunning ways","","","England","Winchester","Moon","2016","","xii, 225 pages, 22 cm","YKL.2018.a.1677","Wicca ; Witchcraft ; Nature--Religious aspects","","English","Additional physical form: ebook version. 9781785354458"
"299.94","018560000","Monograph","Language material ; Text","Online resource","GBB874421","9781472533630","Ezzy, Douglas","","person","author","Ezzy, Douglas, author [person]","Sex, death and witchcraft : a contemporary Pagan festival","","","","England ; United Kingdom","London","Bloomsbury","2014","","1 online resource (224 pages)","ELD.DS.205091","Religion--General ; Body, Mind & Spirit--Witchcraft & Wicca ; Sociology & anthropology ; Religion: general ; Neopaganism ; Social Science--Sociology of Religion","","English",""
"299.94","018877037","Monograph","Language material ; Text","Online resource (ebook)","GBB895040","9781785357978","Hoeven, Joanna van der","","person","author","Hoeven, Joanna van der, author [person]","The hedge druid's craft : an introduction to walking between the worlds of Wicca, witchcraft and druidry","","Pagan portals","","England","Winchester","Moon","2018","","1 online resource","ELD.DS.306837","Wicca ; Witchcraft ; Neopaganism","","English","Additional physical form: Print version. 9781785357961"
"299.94","018935663","Monograph","Language material ; Text","Online resource (ebook)","GBB8C7603","9781785357534","Daimler, Morgan","","person","author","Daimler, Morgan, author [person]","Travelling the fairy path","","","","England","Winchester","Moon","2018","","1 online resource","ELD.DS.355152","Witchcraft ; Neopaganism ; Fairies","","English","Additional physical form: Print version. 9781785357527"
"299.94","019033461","Monograph","Language material ; Text","Online resource (ebook)","GBB8F9939","9781785359248","DeBlassie, Maria","","person","author","DeBlassie, Maria, author [person]","Everyday enchantments","","","","England","Winchester","Moon","2018","","1 online resource","ELD.DS.355172","Witchcraft","","English","Additional physical form: Print version. 9781785359231"
"299.94","019450147","Monograph","Language material ; Text","Online resource","GBB9E4471","9783030155490","","","","","Doyle White, Ethan [person] ; Feraro, Shai [person]","Magic and Witchery in the Modern West : Celebrating the Twentieth Anniversary of 'the Triumph of the Moon'","","Palgrave Historical Studies in Witchcraft and Magic Series","","Switzerland","Cham","Palgrave Macmillan","2019","","1 online resource (265 pages)","ELD.DS.435252","Social history ; Witchcraft--Western countries ; Civilization ; Europe ; History, Modern ; Wicca ; Europe--History ; Civilization--History ; Wicca--Western countries ; Hutton, Ronald","History","English",""
"299.9405","014534838","Serial","Language material ; Text","Volume","GBA9A7559","","","","","","","The magical times","","","","England","Dover","Magical Festivals","2008-","","volumes, colour illustrations, colour portraits, 21 cm","ZK.9.a.11179","Neopaganism--Periodicals ; Mysticism--Periodicals ; Paganism--Periodicals ; Magic--Periodicals","Periodical","English",""
"299.9405","016302805","Serial","Language material ; Text","Volume","GBB535923","","","","","","Magicka School (Mulazzo, Italy) [organisation]","The portal : the magazine of Magicka School","Portal (Keswick, Cumbria, England) ; The portal (Keswick)","","","England","Keswick, Cumbria","Forge Press","2013-","","illustrations (black and white), 30 cm","ZK.9.b.33572","Wicca--Periodicals ; Witchcraft--Periodicals ; Paganism--Periodicals ; Magicka School (Mulazzo, Italy)--Periodicals ; Magic--Periodicals","Periodical","English",""
"299.940835","014016212","Monograph","Language material ; Text","Volume","GBA777487","9780754657842","","","","","Johnston, Hannah E. [person] ; Aloi, Peg [person]","The new generation witches : teenage witchcraft in contemporary culture","","Controversial new religions","","England","Aldershot","Ashgate","2007","","xiv, 172 pages, 24 cm","YC.2008.a.1461 ; m07/.36530","Witchcraft ; Teenagers--Miscellanea","","English",""
"299.940835","017778494","Monograph","Language material ; Text","Online resource (ePub ebook)","GBB642379","9781317022800","Aloi, Peg","","person","author","Johnston, Hannah E., editor [person] ; Aloi, Peg, editor [person] ; Aloi, Peg, author [person]","New generation witches : teenage witchcraft in contemporary culture","","","","England","London","Routledge","2016","","1 online resource","ELD.DS.51716","Witchcraft ; Subculture ; Teenage girls--Attitudes","","English","Additional physical form: Print version. 9780754657842 ; Previously issued in print: Aldershot: Ashgate, 2008"
"299.94092","019497595","Monograph","Language material ; Text","Online resource (ePub ebook)","GBB9D6784","9780751574548","Garcia, Amanda Yates","","person","author","Garcia, Amanda Yates, author [person]","Initiated : the wayward girls' guide to becoming a witch","","","","England","London","Sphere","2019","","1 online resource","ELD.DS.470892","Wicca ; Self-actualization (Psychology) ; Feminism ; Witchcraft ; Garcia, Amanda Yates","","English","Additional physical form: Print version. 9780751574555"
"299.9409714","014670249","Monograph","Language material ; Text","Volume","GBB1C3355","9780773451124","Gagnon, Mireille","1958-","person","","Gagnon, Mireille, 1958- [person]","La Wicca au Quebec = portrait d'une religion de sorcellerie contemporaine = The Wiccan movement in Quebec : a portrait of a contemporary wichcraft religion","Wiccan movement in Quebec","","","United States of America","Lewiston, New York","Edwin Mellen","2008","","viii, 157 pages, illustrations, 24 cm","YK.2011.a.34266","Witchcraft--Québec (Province) ; Wicca--Québec (Province)","","English ; French",""
"300","013378760","Monograph","Language material ; Text","Volume","","9782221101469","Malarewicz, Jacques Antoine","","person","","Malarewicz, Jacques Antoine [person]","La femme possédée : sorcières, hystériques et personnalités multiples","","","","France","Paris","Laffont","2005","","422 pages, 24 cm","YF.2006.a.37752","Demoniac possession ; Feminist anthropology ; Hysteria ; Witchcraft ; Multiple personality ; Women Studies--Woman's Body and Psychiatry--History","","French",""
"300","014503461","Monograph","Language material ; Text","Volume","","9782600003667","Sanchez, Pascal","","person","","Sanchez, Pascal [person]","La rationalité des croyances magiques","","Travaux de sciences sociales","no 212 [Travaux de sciences sociales]","Switzerland","Genève","Droz","2007","","726 pages, illustrations, 23 cm","X.0200/75 (212)","Magic ; Magic--Religious aspects ; Magic--Social aspects","","French",""
"300","015288394","Monograph","Language material ; Text","Volume","","9782867815300","Lassallette-Carassou, Anne-Marie","","person","","Lassallette-Carassou, Anne-Marie [person]","Sorciers, sorcières et néopaïens dans l'Amérique d'aujourd'hui","","Identités religieuses","","France","Pessac","Presses universitaires de Bordeaux","2008","","325 pages, illustrations, 24 cm","YF.2009.a.22452","Neopaganism--United States of America--Social history ; United States--Religion--1960- ; New Age movement--United States--History--20th century ; Witchcraft--United States--History--20th century ; Paganism--United States--History--20th century","","French",""
"300","015299380","Monograph","Language material ; Text","Volume","","9782296078833","Piot, Alain","1941-","person","","Piot, Alain, 1941- [person]","La diabolisation de la femme : on brûle une sorcière : essai","","","","France","Paris","Harmattan","2009","","200 pages, 24 cm","YF.2012.a.18044","Trials (Witchcraft) ; Women--Social conditions ; Misogyny--Religious aspects--Christianity","","French",""
"301","006625956","Monographic component part","Language material ; Text","Volume","","","Moore, H.L.","","person","","Moore, H.L. [person] ; Sanders, D.T. [person] ; Economic and Social Research Council (Great Britain) [organisation]","Belief, modernity and the state in East Africa","","End of award report","number R000237951 [End of award report]","England","Swindon","Economic & Social Research Council","2002","","11 leaves, 11 pages, 30 cm","3739.060500","Sociology ; Witchcraft ; Human services ; Tanzania","","English",""
"301","010431887","Monograph","Language material ; Text","Online resource","","","Day, Sophie","","person","","Day, Sophie [person]","Embodying spirits : village oracles and possession rituals in Ladkh, North India","","","","","","University of London Press","1989","","","318353","Religion ; Buddhism; Witchcraft ; Folklore ; Anthropology ; Philosophy","","English",""
"301","010439975","Monograph","Language material ; Text","Online resource","","","Shaw, Rosalind H.","","person","","Shaw, Rosalind H. [person]","Temne divination : the management of secrecy and revelation","","","","","","University of London Press","1982","","","320756","Religion ; Folklore ; Anthropology ; Witchcraft ; Philosophy","","",""
"301","010443229","Monograph","Language material ; Text","Online resource","","","Miller, Joyce H. M","","person","","Miller, Joyce H. M [person]","Cantrips and carlins : magic, medicine and society in the presbyteries of Haddington and Stirling, 1603-88","","","","","","University of Stirling","1999","","","321980","Witchcraft; Charmers; Witches; Healing ; Folklore ; History ; Anthropology","","English",""
"301","010443705","Monograph","Language material ; Text","Online resource","","","Pearson, Joannne Elizabeth","","person","","Pearson, Joannne Elizabeth [person]","Religion and the return of magic : Wicca as esoteric spirituality","","","","","","University of Lancaster","2000","","","322133","Religion ; Witchcraft; Paganism; Keith Thomas ; Folklore ; Anthropology ; Philosophy","","",""
"301","010445508","Monograph","Language material ; Text","Online resource","","","Lewis, John Rees","","person","","Lewis, John Rees [person]","Amulets : the psychology of magical thought in a contemporary context","","","","","","University of Sussex","2000","","","323047","Psychology ; Superstition; Magic ; Folklore ; Anthropology","","English",""
"301","010448955","Monograph","Language material ; Text","Online resource","","","Levene, Dan","","person","","Levene, Dan [person]","Incantation texts in Jewish Aramaic from Late Antiquity : a corpus of magic bowls","","","","","","University of London Press","2000","","","324559","Magical practice; Lexical; Curse ; Folklore ; History ; Anthropology","","",""
